id,title,authors,year,abstract,keywords,journal,doi,source_db,country,citations,url
https://openalex.org/W4360980141,Examining Science Education in ChatGPT: An Exploratory Study of Generative Artificial Intelligence,Grant Cooper,2023,,Transformative learning; Science education; Rubric; Engineering ethics; Narrative; Generative grammar; Computer science; Sociology; Psychology; Pedagogy; Artificial intelligence; Engineering,Journal of Science Education and Technology,https://doi.org/10.1007/s10956-023-10039-y,ScienceDirect,AU,1074,https://openalex.org/W4360980141
https://openalex.org/W4389359039,Generative artificial intelligence,Leonardo Banh; Gero Strobel,2023,"Abstract Recent developments in the field of artificial intelligence (AI) have enabled new paradigms of machine processing, shifting from data-driven, discriminative AI tasks toward sophisticated, creative tasks through generative AI. Leveraging deep generative models, generative AI is capable of producing novel and realistic content across a broad spectrum (e.g., texts, images, or programming code) for various domains based on basic user prompts. In this article, we offer a comprehensive overview of the fundamentals of generative AI with its underpinning concepts and prospects. We provide a conceptual introduction to relevant terms and techniques, outline the inherent properties that constitute generative AI, and elaborate on the potentials and challenges. We underline the necessity for researchers and practitioners to comprehend the distinctive characteristics of generative artificial intelligence in order to harness its potential while mitigating its risks and to contribute to a principal understanding.",Generative grammar; Computer science; Artificial intelligence; Field (mathematics); Generative model; Discriminative model; Generative Design; Engineering,Electronic Markets,https://doi.org/10.1007/s12525-023-00680-1,ScienceDirect,DE,343,https://openalex.org/W4389359039
https://openalex.org/W4401587065,Generative artificial intelligence: a systematic review and applications,Sandeep Singh Sengar; Affan Bin Hasan; Sanjay Kumar; Fiona Carroll,2024,"Abstract In recent years, the study of artificial intelligence (AI) has undergone a paradigm shift. This has been propelled by the groundbreaking capabilities of generative models both in supervised and unsupervised learning scenarios. Generative AI has shown state-of-the-art performance in solving perplexing real-world conundrums in fields such as image translation, medical diagnostics, textual imagery fusion, natural language processing, and beyond. This paper documents the systematic review and analysis of recent advancements and techniques in Generative AI with a detailed discussion of their applications including application-specific models. Indeed, the major impact that generative AI has made to date, has been in language generation with the development of large language models, in the field of image translation and several other interdisciplinary applications of generative AI. Moreover, the primary contribution of this paper lies in its coherent synthesis of the latest advancements in these areas, seamlessly weaving together contemporary breakthroughs in the field. Particularly, how it shares an exploration of the future trajectory for generative AI. In conclusion, the paper ends with a discussion of Responsible AI principles, and the necessary ethical considerations for the sustainability and growth of these generative models.",Computer science; Generative grammar; Artificial intelligence; Machine learning; Natural language processing; Cognitive science,Multimedia Tools and Applications,https://doi.org/10.1007/s11042-024-20016-1,ScienceDirect,GB,267,https://openalex.org/W4401587065
https://openalex.org/W4403637324,Promises and challenges of generative artificial intelligence for human learning,Lixiang Yan; Samuel Greiff; Ziwen Teuber; Dragan Gašević,2024,,Generative grammar; Artificial intelligence; Computer science; Cognitive science; Psychology,Nature Human Behaviour,https://doi.org/10.1038/s41562-024-02004-5,ScienceDirect,AU,244,https://openalex.org/W4403637324
https://openalex.org/W4386711999,The GenAI is out of the bottle: generative artificial intelligence from a business model innovation perspective,Dominik K. Kanbach; Louisa Heiduk; Georg Blueher; Maximilian Schreiter; Alexander Lahmann,2023,,Variety (cybernetics); Perspective (graphical); Generative grammar; Business model; Computer science; Business intelligence; Knowledge management; Data science; Marketing; Artificial intelligence; Business,Review of Managerial Science,https://doi.org/10.1007/s11846-023-00696-z,ScienceDirect,DE,356,https://openalex.org/W4386711999
https://openalex.org/W4388582970,Generative Artificial Intelligence in Education and Its Implications for Assessment,Jin Mao; Baiyun Chen; Juhong Liu,2023,,Generative grammar; Educational technology; Engineering ethics; Computer science; Artificial intelligence; Sociology; Knowledge management; Engineering; Pedagogy,TechTrends,https://doi.org/10.1007/s11528-023-00911-4,ScienceDirect,US,196,https://openalex.org/W4388582970
https://openalex.org/W4388551749,Not quite eye to A.I.: student and teacher perspectives on the use of generative artificial intelligence in the writing process,Alex Barrett; Austin Pack,2023,,Brainstorming; Process (computing); Preparedness; Task (project management); Psychology; Mathematics education; Perception; Higher education; Computer science; Pedagogy; Artificial intelligence; Engineering,International Journal of Educational Technology in Higher Education,https://doi.org/10.1186/s41239-023-00427-0,ScienceDirect,US,264,https://openalex.org/W4388551749
https://openalex.org/W4392732989,Student perspectives on the use of generative artificial intelligence technologies in higher education,Heather Johnston; Rebecca Wells; Elizabeth M. Shanks; Timothy Boey; Bryony N. Parsons,2024,,Generative grammar; Mathematics education; Artificial intelligence; Computer science; Psychology,International Journal for Educational Integrity,https://doi.org/10.1007/s40979-024-00149-4,ScienceDirect,GB,201,https://openalex.org/W4392732989
https://openalex.org/W4398243313,A scoping review on how generative artificial intelligence transforms assessment in higher education,Qi Xia; Xiaojing Weng; Fan Ouyang; Tzung‐Jin Lin; Thomas K. F. Chiu,2024,"Abstract Generative artificial intelligence provides both opportunities and challenges for higher education. Existing literature has not properly investigated how this technology would impact assessment in higher education. This scoping review took a forward-thinking approach to investigate how generative artificial intelligence transforms assessment in higher education. We used the PRISMA extension for scoping reviews to select articles for review and report the results. In the screening, we retrieved 969 articles and selected 32 empirical studies for analysis. Most of the articles were published in 2023. We used three levels—students, teachers, and institutions—to analyze the articles. Our results suggested that assessment should be transformed to cultivate students’ self-regulated learning skills, responsible learning, and integrity. To successfully transform assessment in higher education, the review suggested that (i) teacher professional development activities for assessment, AI, and digital literacy should be provided, (ii) teachers’ beliefs about human and AI assessment should be strengthened, and (iii) teachers should be innovative and holistic in their teaching to reflect the assessment transformation. Educational institutions are recommended to review and rethink their assessment policies, as well as provide more inter-disciplinary programs and teaching.",Generative grammar; Higher education; Artificial intelligence; Computer science; Political science,International Journal of Educational Technology in Higher Education,https://doi.org/10.1186/s41239-024-00468-z,ScienceDirect,CN,204,https://openalex.org/W4398243313
https://openalex.org/W4385661227,Entrepreneurship education in the era of generative artificial intelligence,Robin Bell; Heather Bell,2023,,Generative grammar; Entrepreneurship; Engineering ethics; Generative model; Artificial intelligence; Knowledge management; Psychology; Sociology; Engineering; Computer science; Political science,Entrepreneurship Education,https://doi.org/10.1007/s41959-023-00099-x,ScienceDirect,GB,94,https://openalex.org/W4385661227
